Period,Day,Forecast,Method,Approach,Actual demand
1,Monday,,MA (n = 3),Seasonality Not Included,220
2,Tuesday,,MA (n = 3),Seasonality Not Included,200
3,Wednesday,,MA (n = 3),Seasonality Not Included,230
4,Thursday,216.6666667,MA (n = 3),Seasonality Not Included,180
5,Friday,203.3333333,MA (n = 3),Seasonality Not Included,190
6,Sunday,200,MA (n = 3),Seasonality Not Included,280
7,Monday,216.6666667,MA (n = 3),Seasonality Not Included,250
8,Tuesday,240,MA (n = 3),Seasonality Not Included,220
9,Wednesday,250,MA (n = 3),Seasonality Not Included,260
10,Thursday,243.3333333,MA (n = 3),Seasonality Not Included,190
11,Friday,223.3333333,MA (n = 3),Seasonality Not Included,200
12,Sunday,216.6666667,MA (n = 3),Seasonality Not Included,290
13,Monday,226.6666667,MA (n = 3),Seasonality Not Included,260
14,Tuesday,250,MA (n = 3),Seasonality Not Included,240
15,Wednesday,263.3333333,MA (n = 3),Seasonality Not Included,230
16,Thursday,243.3333333,MA (n = 3),Seasonality Not Included,200
17,Friday,223.3333333,MA (n = 3),Seasonality Not Included,210
18,Sunday,213.3333333,MA (n = 3),Seasonality Not Included,300
19,Monday,236.6666667,MA (n = 3),Seasonality Not Included,280
20,Tuesday,263.3333333,MA (n = 3),Seasonality Not Included,250
21,Wednesday,276.6666667,MA (n = 3),Seasonality Not Included,250
22,Thursday,260,MA (n = 3),Seasonality Not Included,220
23,Friday,240,MA (n = 3),Seasonality Not Included,230
24,Sunday,233.3333333,MA (n = 3),Seasonality Not Included,320
25,Monday,256.6666667,MA (n = 3),Seasonality Not Included,
26,Tuesday,268.8888889,MA (n = 3),Seasonality Not Included,
27,Wednesday,281.8518519,MA (n = 3),Seasonality Not Included,
28,Thursday,269.1358025,MA (n = 3),Seasonality Not Included,
29,Friday,273.2921811,MA (n = 3),Seasonality Not Included,
30,Sunday,274.7599451,MA (n = 3),Seasonality Not Included,
1,Monday,,WMA (n = 3),Seasonality Not Included,220
2,Tuesday,,WMA (n = 3),Seasonality Not Included,200
3,Wednesday,,WMA (n = 3),Seasonality Not Included,230
4,Thursday,223.6842134,WMA (n = 3),Seasonality Not Included,180
5,Friday,191.0526265,WMA (n = 3),Seasonality Not Included,190
6,Sunday,194.7368401,WMA (n = 3),Seasonality Not Included,280
7,Monday,250.0000135,WMA (n = 3),Seasonality Not Included,250
8,Tuesday,245.2631598,WMA (n = 3),Seasonality Not Included,220
9,Wednesday,234.21052,WMA (n = 3),Seasonality Not Included,260
10,Thursday,252.1052668,WMA (n = 3),Seasonality Not Included,190
11,Friday,205.7894664,WMA (n = 3),Seasonality Not Included,200
12,Sunday,207.8947335,WMA (n = 3),Seasonality Not Included,290
13,Monday,260.0000135,WMA (n = 3),Seasonality Not Included,260
14,Tuesday,255.2631598,WMA (n = 3),Seasonality Not Included,240
15,Wednesday,251.0526267,WMA (n = 3),Seasonality Not Included,230
16,Thursday,236.3157867,WMA (n = 3),Seasonality Not Included,200
17,Friday,211.0526266,WMA (n = 3),Seasonality Not Included,210
18,Sunday,211.5789467,WMA (n = 3),Seasonality Not Included,300
19,Monday,270.0000135,WMA (n = 3),Seasonality Not Included,280
20,Tuesday,272.1052665,WMA (n = 3),Seasonality Not Included,250
21,Wednesday,262.6315733,WMA (n = 3),Seasonality Not Included,250
22,Thursday,254.7368401,WMA (n = 3),Seasonality Not Included,220
23,Friday,229.4736799,WMA (n = 3),Seasonality Not Included,230
24,Sunday,231.5789467,WMA (n = 3),Seasonality Not Included,320
25,Monday,290.0000135,WMA (n = 3),Seasonality Not Included,
26,Tuesday,285.263169,WMA (n = 3),Seasonality Not Included,
27,Wednesday,291.4958519,WMA (n = 3),Seasonality Not Included,
28,Thursday,290.2755596,WMA (n = 3),Seasonality Not Included,
29,Friday,289.6768075,WMA (n = 3),Seasonality Not Included,
30,Sunday,290.0585647,WMA (n = 3),Seasonality Not Included,
1,Monday,,ES,Seasonality Not Included,220
2,Tuesday,220,ES,Seasonality Not Included,200
3,Wednesday,215.6346851,ES,Seasonality Not Included,230
